sales_point_slug,city_name,state,zip_code
los-angeles-area,Burbank,CA,91501
los-angeles-area,Glendale,CA,91201
los-angeles-area,Pasadena,CA,91101
los-angeles-area,South Pasadena,CA,91030
los-angeles-area,San Marino,CA,91108
los-angeles-area,Alhambra,CA,91801
los-angeles-area,Arcadia,CA,91006
los-angeles-area,Monrovia,CA,91016
los-angeles-area,Sierra Madre,CA,91024
los-angeles-area,Temple City,CA,91780
los-angeles-area,Rosemead,CA,91770
los-angeles-area,San Gabriel,CA,91776
los-angeles-area,Monterey Park,CA,91754
los-angeles-area,El Monte,CA,91731
los-angeles-area,Montebello,CA,90640
los-angeles-area,Commerce,CA,90040
los-angeles-area,Bell,CA,90201
los-angeles-area,Bell Gardens,CA,90201
los-angeles-area,Cudahy,CA,90201
los-angeles-area,Maywood,CA,90270
los-angeles-area,Huntington Park,CA,90255
los-angeles-area,South Gate,CA,90280
los-angeles-area,Downey,CA,90240
los-angeles-area,Pico Rivera,CA,90660
los-angeles-area,Whittier,CA,90601
los-angeles-area,Santa Fe Springs,CA,90670
los-angeles-area,Norwalk,CA,90650
los-angeles-area,La Mirada,CA,90638
los-angeles-area,Cerritos,CA,90703
los-angeles-area,Lakewood,CA,90712
los-angeles-area,Bellflower,CA,90706
los-angeles-area,Paramount,CA,90723
los-angeles-area,Long Beach,CA,90802
los-angeles-area,Signal Hill,CA,90755
los-angeles-area,Los Angeles,CA,90001
los-angeles-area,Santa Monica,CA,90401
los-angeles-area,West Hollywood,CA,90069
los-angeles-area,Beverly Hills,CA,90210
los-angeles-area,Culver City,CA,90230
los-angeles-area,Malibu,CA,90265
los-angeles-area,El Segundo,CA,90245
los-angeles-area,Manhattan Beach,CA,90266
los-angeles-area,Hermosa Beach,CA,90254
los-angeles-area,Redondo Beach,CA,90277
los-angeles-area,Inglewood,CA,90301
los-angeles-area,Hawthorne,CA,90250
los-angeles-area,Lawndale,CA,90260
los-angeles-area,Gardena,CA,90247
los-angeles-area,Torrance,CA,90501
los-angeles-area,Carson,CA,90745
los-angeles-area,Lomita,CA,90717
orange-county,Aliso Viejo,CA,92656
orange-county,Anaheim,CA,92801
orange-county,Brea,CA,92821
orange-county,Buena Park,CA,90620
orange-county,Costa Mesa,CA,92626
orange-county,Cypress,CA,90630
orange-county,Dana Point,CA,92629
orange-county,Fountain Valley,CA,92708
orange-county,Fullerton,CA,92831
orange-county,Garden Grove,CA,92840
orange-county,Huntington Beach,CA,92646
orange-county,Irvine,CA,92602
orange-county,La Habra,CA,90631
orange-county,La Palma,CA,90623
orange-county,Laguna Beach,CA,92651
orange-county,Laguna Hills,CA,92653
orange-county,Laguna Niguel,CA,92677
orange-county,Laguna Woods,CA,92637
orange-county,Lake Forest,CA,92630
orange-county,Los Alamitos,CA,90720
orange-county,Mission Viejo,CA,92691
orange-county,Newport Beach,CA,92660
orange-county,Orange,CA,92866
orange-county,Placentia,CA,92870
orange-county,Rancho Santa Margarita,CA,92688
orange-county,San Clemente,CA,92672
orange-county,San Juan Capistrano,CA,92675
orange-county,Santa Ana,CA,92701
orange-county,Seal Beach,CA,90740
orange-county,Stanton,CA,90680
orange-county,Tustin,CA,92780
orange-county,Villa Park,CA,92861
orange-county,Westminster,CA,92683
orange-county,Yorba Linda,CA,92886
tri-valley,Livermore,CA,94550
tri-valley,Pleasanton,CA,94566
tri-valley,Dublin,CA,94568
tri-valley,Danville,CA,94506
tri-valley,San Ramon,CA,94582
